dir,run,type,sigma,seed,eval_step,oracle_epoch,oracle_rmse,tik_disc_rmse,tik_oracle_rmse,tau,epoch,rmse_truth,fit
e2b,white3_s0,white,3.0000,0,1,18,2.3506,3.0904,3.0904,1.5000,2.0000,7.3501,4.3684
e2b,white3_s1,white,3.0000,1,1,18,2.3560,3.0927,3.0927,0.8000,,,
e2b,white3_s1,white,3.0000,1,1,18,2.3560,3.0927,3.0927,0.9000,,,
e2b,white3_s1,white,3.0000,1,1,18,2.3560,3.0927,3.0927,1.0000,18.0000,2.3560,2.9847
e2b,white3_s1,white,3.0000,1,1,18,2.3560,3.0927,3.0927,1.1000,8.0000,3.8045,3.2845
e2b,white3_s1,white,3.0000,1,1,18,2.3560,3.0927,3.0927,1.2000,6.0000,4.8000,3.5240
e2b,white3_s1,white,3.0000,1,1,18,2.3560,3.0927,3.0927,1.3000,5.0000,5.5326,3.7503
e2b,white3_s1,white,3.0000,1,1,18,2.3560,3.0927,3.0927,1.5000,2.0000,7.6414,4.4388
e2b,white3_s2,white,3.0000,2,1,13,2.4026,3.0558,3.0558,0.8000,,,
e2b,white3_s2,white,3.0000,2,1,13,2.4026,3.0558,3.0558,0.9000,,,
e2b,white3_s2,white,3.0000,2,1,13,2.4026,3.0558,3.0558,1.0000,23.0000,2.7732,2.9889
e2b,white3_s2,white,3.0000,2,1,13,2.4026,3.0558,3.0558,1.1000,10.0000,2.6285,3.0664
e2b,white3_s2,white,3.0000,2,1,13,2.4026,3.0558,3.0558,1.2000,6.0000,4.5107,3.4576
e2b,white3_s2,white,3.0000,2,1,13,2.4026,3.0558,3.0558,1.3000,5.0000,5.2687,3.7010
e2b,white3_s2,white,3.0000,2,1,13,2.4026,3.0558,3.0558,1.5000,3.0000,7.0299,4.2511
